"survey_id","country","community","years_fishing","age","boat_length_m","fishing_organization","education","gdp_prop","income_usd","NY.GDP.PCAP.KD","fishing_org_members","fishtech","boat_own","income_fishing","rank_one"
6025,"MEX","ALT",30,50,7,"y","formal",0.299897907913695,3120,10403.540397147,69,1,1,100,"corruption"
6026,"MEX","ALT",16,31,8,"y","formal",2.09928535539587,21840,10403.540397147,69,1,1,50,"pollution"
6027,"MEX","ALT",31,51,7,"y","higher",0.419857071079173,4368,10403.540397147,90,1,1,100,"corruption"
6028,"MEX","ALT",25,44,7,"y","formal",0.599795815827391,6240,10403.540397147,25,1,1,100,"pollution"
6029,"MEX","ALT",30,47,8,"y","formal",3.59877489496434,37440,10403.540397147,90,1,1,100,"corruption"
6030,"MEX","ALT",7,31,8,"y","formal",0.539816234244652,5616,10403.540397147,25,1,0,100,"iuu"
6031,"MEX","ALT",20,39,7,"y","formal",0.539816234244652,5616,10403.540397147,27,1,1,100,"iuu"
6032,"MEX","ALT",23,44,7,"y","formal",0.539816234244652,5616,10403.540397147,69,1,1,100,"corruption"
6033,"MEX","ALT",28,48,8,"y","formal",0.704510168673922,7329.4,10403.540397147,69,1,1,100,"corruption"
6034,"MEX","ALT",34,45,8,"y","formal",0.479836652661912,4992,10403.540397147,72,1,1,100,"pollution"
6035,"MEX","TTN",33,54,7,"y","higher",0.719754978992869,7488,10403.540397147,94,1,1,50,"pollution"
6036,"MEX","TTN",31,47,8,"y","formal",0.479836652661912,4992,10403.540397147,94,1,1,100,"iuu"
6037,"MEX","TTN",40,58,6,"y","formal",0.479836652661912,4992,10403.540397147,94,1,1,100,"pollution"
6038,"MEX","TTN",26,45,8,"y","formal",0.899693723741086,9360,10403.540397147,26,1,1,100,"iuu"
6039,"MEX","ALT",32,52,7,"y","formal",0.599795815827391,6240,10403.540397147,54,1,1,100,"weather"
6040,"MEX","ALT",43,58,8,"n","formal",0.179938744748217,1872,10403.540397147,69,1,0,40,"pollution"
6041,"MEX","ALT",2,18,7,"n","formal",0.419857071079173,4368,10403.540397147,69,1,0,50,"pollution"
7001,"IND","WKB",21,44,12,"y","formal",0.795397053042644,3408,4284.65253543916,14,0,1,10,"iuu"
7002,"IND","WKB",30,47,9,"y","formal",0.994246316303305,4260,4284.65253543916,27,0,1,100,"iuu"
7003,"IND","WKB",20,47,12,"y","formal",0.894821684672974,3834,4284.65253543916,30,0,1,10,"weather"
7004,"IND","WKB",32,42,8,"y","formal",0.198849263260661,852,4284.65253543916,25,0,1,100,"iuu"
7005,"IND","WKB",19,47,10,"y","formal",0.795397053042644,3408,4284.65253543916,24,0,1,10,"iuu"
7006,"IND","WKB",98,37,10,"n","formal",0.902469733259923,3866.76923076923,4284.65253543916,24,0,1,10,"iuu"
7007,"IND","WKB",20,42,10,"y","formal",0.298273894890991,1278,4284.65253543916,30,0,1,80,"iuu"
7008,"IND","WKB",22,37,9,"y","no_formal",0.198849263260661,852,4284.65253543916,35,0,1,100,"weather"
7009,"IND","WKB",15,35,11,"y","no_formal",1.59079410608529,6816,4284.65253543916,27,0,1,100,"iuu"
7010,"IND","WKB",15,22,9,"n","formal",0.795397053042644,3408,4284.65253543916,24,1,1,10,"weather"
7011,"IND","WKB",19,34,9,"n","formal",0.994246316303305,4260,4284.65253543916,24,1,1,10,"iuu"
7012,"IND","WKB",48,58,12,"y","formal",0.397698526521322,1704,4284.65253543916,15,1,1,100,"corruption"
7013,"IND","WKB",28,47,11,"y","formal",1.39194484282463,5964,4284.65253543916,15,0,1,100,"weather"
7014,"IND","WKB",21,41,10,"n","formal",2.38619115912793,10224,4284.65253543916,24,0,1,100,"iuu"
8001,"IND","JPR",30,51,6,"y","formal",0.596547789781983,2556,4284.65253543916,15,0,1,90,"weather"
8002,"IND","JPR",35,55,6,"y","formal",0.994246316303305,4260,4284.65253543916,200,0,1,70,"iuu"
8003,"IND","JPR",32,47,11,"y","formal",0.795397053042644,3408,4284.65253543916,10,0,1,80,"weather"
8004,"IND","JPR",40,55,10,"n","formal",0.994246316303305,4260,4284.65253543916,77,0,1,60,"weather"
8005,"IND","JPR",36,66,6,"y","formal",0.596547789781983,2556,4284.65253543916,10,0,0,80,"weather"
8006,"IND","JPR",40,58,11,"y","formal",0.397698526521322,1704,4284.65253543916,150,1,1,90,"iuu"
